world_rank,institution,country,quality_of_education,quality_of_faculty,influence,patents,Average,rank_by_avg,GRE Score,TOEFL Score,CGPA
56,Peking University,China,182,218,131,20,137.75,93,320,103,7.7
57,National Taiwan University,Taiwan,92,218,223,695,307,319,316,102,7.4
58,University of Paris-Sud,France,26,26,86,324,115.5,74,298,99,7.6
59,Lomonosov Moscow State University,Russia,14,48,254,861,294.25,289,300,99,6.8
60,University of Florida,USA,214,96,73,5,97,59,311,104,8.3
61,Carnegie Mellon University,USA,25,23,225,165,109.5,69,309,100,8.1
62,University of British Columbia,Canada,81,93,36,81,72.75,44,307,101,8.2
63,Pierre-and-Marie-Curie University,France,30,88,35,87,60,34,304,105,8.2
64,"University of California, Santa Barbara",USA,133,29,59,77,74.5,47,315,107,8.5
65,National University of Singapore,Singapore,367,218,125,25,183.75,133,325,111,8.7
66,Boston University,USA,303,83,45,135,141.5,95,325,112,8.92
67,University of Manchester,United Kingdom,99,72,70,142,95.75,58,327,114,9.02
68,University of Arizona,USA,139,87,39,235,125,80,316,107,8.64
69,Vanderbilt University,USA,87,110,62,51,77.5,49,318,109,9.22
70,University of Utah,USA,97,67,65,19,62,35,328,115,9.16
71,Karolinska Institute,Sweden,149,36,54,743,245.5,220,332,118,9.64
72,"University of Maryland, College Park",USA,68,43,47,280,109.5,69,336,112,9.76
73,Tohoku University,Japan,41,218,127,22,102,63,321,111,9.45
74,University of Copenhagen,Denmark,117,64,31,432,161,109,314,108,9.04
75,University of Texas Southwestern Medical Center,USA,59,35,30,173,74.25,46,314,106,8.9
76,Ruprecht Karl University of Heidelberg,Germany,38,51,61,243,98.25,60,329,114,8.56
77,University of Notre Dame,USA,221,155,242,352,242.5,212,327,112,8.72
78,Tsinghua University,China,309,218,158,30,178.75,126,301,99,8.22
79,Ludwig Maximilian University of Munich,Germany,42,92,55,167,89,52,296,95,7.54
80,Georgia Institute of Technology,USA,135,218,152,36,135.25,90,294,93,7.36
81,University of Rochester,USA,72,113,118,64,91.75,54,312,105,8.02
82,Katholieke Universiteit Leuven,Belgium,367,218,92,74,187.75,137,340,120,9.5
83,Brown University,USA,64,73,67,200,101,62,320,110,9.22
84,Emory University,USA,367,116,60,55,149.5,102,322,115,9.36
85,Erasmus University Rotterdam,Netherlands,367,189,147,227,232.5,195,340,115,9.45
86,Tel Aviv University,Israel,77,50,117,39,70.75,42,319,103,8.66
87,Utrecht University,Netherlands,84,115,44,429,168,120,315,106,8.42
88,University of Sydney,Australia,105,166,103,75,112.25,71,317,107,8.28
89,"University of California, Irvine",USA,227,44,51,162,121,77,314,108,8.14
90,University of Texas MD Anderson Cancer Center,USA,367,80,72,71,147.5,101,316,109,8.76
91,Swiss Federal Institute of Technology in Lausanne,Switzerland,367,116,114,58,163.75,113,318,106,7.92
92,University of Geneva,Switzerland,35,42,77,321,118.75,75,299,97,7.66
93,University of Melbourne,Australia,141,218,68,223,162.5,110,298,98,8.03
94,King's College London,United Kingdom,27,114,116,188,111.25,70,301,97,7.88
95,Tufts University,USA,60,182,160,84,121.5,78,303,99,7.66
96,University of Zurich,Switzerland,115,85,46,137,95.75,58,304,100,7.84
97,Arizona State University,USA,367,66,85,21,134.75,89,306,100,8
98,Yonsei University,South Korea,367,218,326,23,233.5,198,331,120,8.96
99,University of Oslo,Norway,53,40,134,302,132.25,87,332,119,9.24
100,Kyushu University,Japan,367,218,182,37,201,155,323,113,8.88
101,Technical University of Munich,Germany,37,177,90,119,105.75,65,322,107,8.46
102,"Texas A&M University, College Station",USA,339,46,98,201,171,122,312,105,8.12
103,University of Queensland,Australia,269,142,78,68,139.25,94,314,106,8.25
104,Mines ParisTech,France,278,169,834,871,538,868,317,104,8.47
105,Case Western Reserve University,USA,50,195,106,111,115.5,74,326,112,9.05
106,Indiana University - Bloomington,USA,134,178,143,178,158.25,106,316,110,8.78
107,University of Alberta,Canada,169,153,109,116,136.75,92,329,111,9.18
108,Leiden University,Netherlands,120,102,94,260,144,98,338,117,9.46
109,Tokyo Institute of Technology,Japan,170,128,169,52,129.75,84,331,116,9.38
110,University of Groningen,Netherlands,313,196,96,316,230.25,193,304,103,8.64
111,University of Helsinki,Finland,56,111,79,420,166.5,117,305,108,8.48
112,Sapienza University of Rome,Italy,67,45,166,312,147.5,101,321,109,8.68
113,Georgetown University,USA,159,218,321,122,205,159,301,107,8.34
114,University of Amsterdam,Netherlands,109,212,88,282,172.75,125,320,110,8.56
115,Korea University,South Korea,367,218,411,26,255.5,235,311,105,8.45
116,University of Barcelona,Spain,367,218,108,215,227,186,310,106,9.04
117,Lund University,Sweden,136,169,135,871,327.75,360,299,102,8.62
118,Michigan State University,USA,112,218,123,136,147.25,99,290,104,7.46
119,Ghent University,Belgium,123,147,149,90,127.25,83,296,99,7.28
120,Rice University,USA,52,95,150,76,93.25,55,327,104,8.84
121,Baylor College of Medicine,USA,367,218,41,199,206.25,161,335,117,9.56
122,Aarhus University,Denmark,310,106,81,154,162.75,111,334,119,9.48
123,University of Bristol,United Kingdom,194,74,69,335,168,120,310,106,8.36
124,Uppsala University,Sweden,73,70,75,871,272.25,254,308,108,8.22
125,Nagoya University,Japan,39,53,140,78,77.5,49,301,106,8.47
126,Royal Institute of Technology,Sweden,199,105,300,797,350.25,399,300,100,8.66
127,University of Colorado Denver,USA,367,140,110,72,172.25,124,323,113,9.32
128,University of Glasgow,United Kingdom,234,218,144,402,249.5,223,319,112,8.71
129,VU University Amsterdam,Netherlands,367,218,120,871,394,487,326,112,9.1
130,University of New South Wales,Australia,177,218,177,157,182.25,129,333,118,9.35
131,Paris Diderot University - Paris 7,France,127,68,56,483,183.5,132,339,114,9.76
132,University of São Paulo,Brazil,297,218,186,710,352.75,407,303,105,8.65
133,Western University (The University of Western Ontario),Canada,367,218,208,261,263.5,245,309,105,8.56
134,Radboud University Nijmegen,Netherlands,128,218,119,410,218.75,174,323,112,8.78
135,Nanyang Technological University,Singapore,367,218,361,32,244.5,217,333,113,9.28
136,Technion – Israel Institute of Technology,Israel,45,55,221,88,102.25,64,314,109,8.77
137,University of Miami,USA,367,218,130,73,197,149,312,103,8.45
138,Stony Brook University,USA,186,58,84,96,106,66,316,100,8.16
139,University of Texas at Dallas,USA,367,218,151,313,262.25,242,326,116,9.08
140,University of Nottingham,United Kingdom,131,84,176,138,132.25,87,318,109,9.12
141,University of Iowa,USA,233,167,83,121,151,104,329,110,9.15
142,Southern Methodist University,USA,179,218,655,824,469,704,332,118,9.36
143,Icahn School of Medicine at Mount Sinai,USA,367,218,71,101,189.25,142,331,115,9.44
144,Korea Advanced Institute of Science and Technology (KAIST),South Korea,367,218,283,8,219,175,340,120,9.92
145,Monash University,Australia,277,218,136,99,182.5,130,325,112,8.96
146,University of Alabama at Birmingham,USA,367,218,124,130,209.75,166,320,113,8.64
147,Free University of Berlin,Germany,76,128,80,461,186.25,136,315,105,8.48
148,University of Southampton,United Kingdom,329,218,133,334,253.5,229,326,114,9.11
149,University of the Witwatersrand,South Africa,61,172,237,291,190.25,143,339,116,9.8
150,McMaster University,Canada,222,163,156,222,190.75,145,311,106,8.26
151,University of Montreal,Canada,320,218,111,540,297.25,294,334,114,9.43
152,University of Birmingham,United Kingdom,65,205,165,170,151.25,105,332,116,9.28
153,Humboldt University of Berlin,Germany,291,108,82,471,238,201,321,112,9.06
154,"University of California, Santa Cruz",USA,175,100,49,183,126.75,82,324,105,8.75
155,Albert Ludwig University of Freiburg,Germany,148,193,104,98,135.75,91,326,108,8.89
156,University of Tübingen,Germany,69,103,122,226,130,85,312,109,8.69
157,University of Cincinnati,USA,188,218,171,263,210,167,315,105,8.34
158,University of Bonn,Germany,58,65,107,341,142.75,96,309,104,8.26
159,Wake Forest University,USA,265,218,244,124,212.75,168,306,106,8.14
160,University of Basel,Switzerland,83,60,100,486,182.25,129,297,100,7.9
161,University of Leeds,United Kingdom,62,218,141,265,171.5,123,315,103,7.86
162,University of Hamburg,Germany,314,135,126,677,313,336,298,99,7.46
163,Université libre de Bruxelles,Belgium,173,69,214,148,151,104,318,109,8.5
164,Indiana University-Purdue University Indianapolis,USA,367,218,190,79,213.5,169,317,105,8.56
165,Pohang University of Science and Technology,South Korea,367,218,355,24,241,209,329,111,9.01
166,Oregon Health & Science University,USA,367,128,115,144,188.5,141,322,110,8.97
167,University of Calgary,Canada,367,218,180,778,385.75,470,302,102,8.33
168,Stockholm University,Sweden,129,187,89,839,311,330,313,102,8.27
169,University of Padua,Italy,281,218,105,351,238.75,202,293,97,7.8
170,University of Hong Kong,Hong Kong,287,218,204,205,228.5,190,311,99,7.98
171,Yeshiva University,USA,200,218,91,128,159.25,107,312,101,8.04
172,University of Milan,Italy,162,182,189,438,242.75,214,334,117,9.07
173,University of Sheffield,United Kingdom,142,196,137,179,163.5,112,322,110,9.13
174,Technical University of Denmark,Denmark,351,202,230,46,207.25,163,323,113,9.23
175,"University of Maryland, Baltimore",USA,367,218,112,180,219.25,177,321,111,8.97
176,Goethe University Frankfurt,Germany,111,89,155,328,170.75,121,320,111,8.87
177,University of Göttingen,Germany,43,176,146,299,166,114,329,119,9.16
178,Hokkaido University,Japan,279,135,173,53,160,108,319,110,9.04
179,Australian National University,Australia,196,52,99,415,190.5,144,309,108,8.12
180,Shanghai Jiao Tong University,China,335,218,267,198,254.5,231,307,102,8.27
181,University of New Mexico,USA,367,218,170,100,213.75,170,300,104,8.16
182,University of Strasbourg,France,71,49,145,269,133.5,88,305,107,8.42
183,University of Massachusetts Medical School,USA,367,80,76,143,166.5,117,299,100,7.88
184,University of Houston,USA,367,218,257,156,249.5,223,314,110,8.8
185,"Trinity College, Dublin",Ireland,338,200,233,153,231,194,316,106,8.32
186,University of Lausanne,Switzerland,102,218,101,683,276,263,327,113,9.11
187,Iowa State University,USA,286,109,178,339,228,189,317,107,8.68
188,Joseph Fourier University,France,195,218,93,160,166.5,117,335,118,9.44
189,Wayne State University,USA,367,218,258,117,240,206,331,115,9.36
190,University of South Florida - Tampa,USA,367,218,251,70,226.5,184,324,112,9.08
191,Zhejiang University,China,367,218,290,106,245.25,219,324,111,9.16
192,Hanyang University,South Korea,367,218,471,31,271.75,252,323,110,8.98
193,University of Ottawa,Canada,223,218,194,496,282.75,275,322,114,8.94
194,University of Missouri–Columbia,USA,250,98,226,150,181,127,336,118,9.53
195,Fudan University,China,367,218,252,123,240,206,316,109,8.76
196,University of Kansas,USA,228,218,161,127,183.5,132,307,107,8.52
197,University of Cologne,Germany,367,201,138,421,281.75,271,306,105,8.26
198,University of Georgia,USA,93,172,132,82,119.75,76,310,106,8.33
199,University of Liverpool,United Kingdom,176,207,172,377,233,197,311,104,8.43
200,University of Bern,Switzerland,184,213,128,433,239.5,204,313,107,8.69
201,Cardiff University,United Kingdom,321,143,153,193,202.5,156,317,103,8.54
202,George Washington University,USA,192,218,227,326,240.75,208,315,110,8.46
203,University of Illinois at Chicago,USA,367,218,196,129,227.5,187,340,120,9.91
204,University of Erlangen-Nuremberg,Germany,231,218,202,361,253,227,334,120,9.87
205,University of Münster,Germany,113,174,192,192,167.75,118,298,105,8.54
206,Aix-Marseille University,France,218,218,87,230,188.25,138,295,99,7.65
207,Claude Bernard University Lyon 1,France,367,218,121,151,214.25,171,315,99,7.89
208,University of Bologna,Italy,350,218,281,354,300.75,301,310,102,8.02
209,Queen Mary University of London,United Kingdom,147,218,175,255,198.75,152,305,106,8.16
210,Dresden University of Technology,Germany,367,218,212,102,224.75,183,301,104,8.12
211,Sungkyunkwan University,South Korea,367,218,317,69,242.75,214,325,108,9.06
212,Newcastle University,United Kingdom,367,218,159,365,277.25,265,328,110,9.14
213,Karlsruhe Institute of Technology,Germany,356,131,280,103,217.5,173,338,120,9.66
214,"University of California, Riverside",USA,247,218,113,194,193,146,333,119,9.78
215,University of Kiel,Germany,193,198,183,310,221,179,331,117,9.42
216,University of Western Australia,Australia,156,145,181,399,220.25,178,330,116,9.36
217,Paris Descartes University,France,203,218,142,455,254.5,231,322,112,9.26
218,University of Connecticut,USA,296,218,193,186,223.25,181,321,109,9.13
219,University of Massachusetts Amherst,USA,212,159,191,356,229.5,191,324,110,8.97
220,Chinese University of Hong Kong,Hong Kong,100,116,356,168,185,135,312,104,8.42
221,University of Turin,Italy,315,163,278,613,342.25,387,313,103,8.75
222,University of Manitoba,Canada,157,155,308,175,198.75,152,316,110,8.56
223,University of Vienna,Austria,191,101,154,671,279.25,267,324,113,8.79
224,University of Montpellier,France,289,169,129,511,274.5,259,308,109,8.45
225,Maastricht University,Netherlands,367,218,354,281,305,314,305,105,8.23
226,National Cheng Kung University,Taiwan,367,218,485,436,376.5,444,296,99,8.03
227,"University of Tennessee, Knoxville",USA,319,218,187,449,293.25,287,306,110,8.45
228,Complutense University of Madrid,Spain,86,214,309,256,216.25,172,312,110,8.53
229,Laval University,Canada,292,218,270,140,230,192,318,112,8.67
230,RWTH Aachen University,Germany,357,131,359,158,251.25,224,324,111,9.01
231,Université catholique de Louvain,Belgium,367,97,325,236,256.25,237,313,104,8.65
232,North Carolina State University,USA,251,218,206,161,209,164,319,106,8.33
233,Johannes Gutenberg University of Mainz,Germany,367,194,185,523,317.25,342,312,107,8.27
234,University of Texas Health Science Center at San Antonio,USA,367,218,229,315,282.25,273,304,100,8.07
235,Julius-Maximilian's University of Würzburg,Germany,106,168,179,369,205.5,160,330,113,9.31
236,Paul Sabatier University - Toulouse III,France,367,218,102,514,300.25,300,326,111,9.23
237,University of Gothenburg,Sweden,257,116,197,871,360.25,417,325,112,9.17
238,University College Dublin,Ireland,241,218,285,278,255.5,235,329,114,9.19
239,University of Science and Technology of China,China,367,218,269,452,326.5,356,310,104,8.37
240,University of Leicester,United Kingdom,367,218,139,385,277.25,265,299,100,7.89
241,Autonomous University of Barcelona,Spain,367,218,220,277,270.5,251,296,101,7.68
242,University of Dundee,United Kingdom,178,218,200,216,203,157,317,103,8.15
243,Norwegian University of Science and Technology,Norway,252,75,366,327,255,232,324,115,8.76
244,Nanjing University,China,342,218,358,164,270.5,251,325,114,9.04
245,Okayama University,Japan,367,218,335,60,245,218,314,107,8.56
246,London School of Hygiene & Tropical Medicine,United Kingdom,367,159,294,736,389,478,328,110,9.02
247,University of Florence,Italy,327,94,275,564,315,338,316,105,8.73
248,University of Cape Town,South Africa,104,146,236,268,188.5,141,311,104,8.48
249,University of Texas Health Science Center at Houston,USA,367,155,162,337,255.25,233,324,110,8.87
250,Moscow Institute of Physics and Technology,Russia,23,218,605,839,421.25,559,321,111,8.83
251,University of Düsseldorf,Germany,185,218,209,454,266.5,246,320,104,8.57
252,Florida State University,USA,367,218,184,411,295,291,316,99,9
253,University of Sussex,United Kingdom,151,57,250,553,252.75,226,318,100,8.54
254,Thomas Jefferson University,USA,158,218,334,502,303,307,335,115,9.68
255,Delft University of Technology,Netherlands,307,218,224,146,223.75,182,321,114,9.12
256,Virginia Polytechnic Institute and State University,USA,283,218,264,181,236.5,200,307,110,8.37
257,University of Lisbon,Portugal,337,152,296,495,320,346,309,99,8.56
258,Drexel University,USA,367,218,338,91,253.5,229,324,100,8.64
259,Virginia Commonwealth University,USA,367,150,253,206,244,216,326,102,8.76
260,Oregon State University,USA,189,218,148,389,236,199,331,119,9.34
261,Durham University,United Kingdom,132,116,199,460,226.75,185,327,108,9.13
262,University of Tsukuba,Japan,202,107,255,213,194.25,147,312,104,8.09
263,University of Reading,United Kingdom,258,218,347,666,372.25,438,308,103,8.36
264,Lehigh University,USA,367,218,542,534,415.25,541,324,111,8.79
265,Medical University of Vienna,Austria,367,218,228,366,294.75,290,325,110,8.76
266,University of Auckland,New Zealand,235,218,260,125,209.5,165,313,102,8.68
267,University of Kentucky,USA,332,218,216,447,303.25,308,312,105,8.45
268,University of Naples Federico II,Italy,331,218,324,792,416.25,546,314,107,8.17
269,University of Waterloo,Canada,367,218,333,626,386,472,327,113,9.14
270,Charles University in Prague,Czech Republic,238,116,238,636,307,319,308,108,8.34
271,Colorado State University - Fort Collins,USA,211,148,203,257,204.75,158,306,105,8.22
272,Tulane University,USA,324,218,299,258,274.75,260,299,96,7.86
273,"University at Buffalo, The State University of New York",USA,367,218,298,237,280,270,294,95,7.64
274,Brandeis University,USA,51,78,195,249,143.25,97,312,99,8.01
275,Northeastern University,USA,316,218,312,86,233,197,315,100,7.95
276,Wageningen University and Research Centre,Netherlands,293,175,168,477,278.25,266,322,110,8.96
277,Sun Yat-sen University,China,367,218,393,221,299.75,298,329,113,9.45
278,University of Ulm,Germany,367,131,231,594,330.75,364,320,101,8.62
279,London School of Economics,United Kingdom,78,91,739,871,444.75,621,308,103,8.49
280,Vrije Universiteit Brussel,Belgium,110,218,301,506,283.75,277,304,102,8.73
281,University of Delaware,USA,318,135,304,120,219.25,177,311,102,8.64
282,Rensselaer Polytechnic Institute,USA,137,218,346,210,227.75,188,317,110,9.11
283,University of Bergen,Norway,367,218,201,871,414.25,538,312,106,8.79
284,Queen's University,Canada,322,218,274,275,272.25,254,321,111,8.9
285,University of Aberdeen,United Kingdom,360,199,207,422,297,293,340,112,9.66
286,Dalhousie University,Canada,367,218,247,384,304,311,331,116,9.26
287,Umeå University,Sweden,367,218,198,871,413.5,534,336,118,9.19
288,University of Duisburg-Essen,Germany,367,218,282,348,303.75,310,324,114,9.08
289,City College of New York,USA,31,218,422,358,257.25,238,314,104,9.02
290,Hiroshima University,Japan,367,218,287,112,246,221,313,109,9
291,University of Texas at San Antonio,USA,367,218,376,254,303.75,310,307,105,7.65
292,Hannover Medical School,Germany,367,218,245,308,284.5,278,300,102,7.87
293,University of Warwick,United Kingdom,210,116,239,234,199.75,153,302,99,7.97
294,University of Valencia,Spain,367,218,348,548,370.25,433,312,98,8.18
295,University of Pisa,Italy,273,218,360,528,344.75,389,316,101,8.32
296,Ruhr University Bochum,Germany,367,218,235,797,404.25,511,317,100,8.57
297,Medical College of Wisconsin,USA,367,218,284,659,382,460,310,107,8.67
298,University of Louisville,USA,367,218,405,105,273.75,256,320,120,9.11
299,University of Bordeaux,France,354,218,265,297,283.5,276,330,114,9.24
300,University of South Carolina - Columbia,USA,367,185,367,649,392,481,305,112,8.65
301,National and Kapodistrian University of Athens,Greece,367,218,416,871,468,701,309,106,8
302,Leipzig University,Germany,326,208,266,364,291,284,319,108,8.76
303,Medical University of South Carolina,USA,367,218,364,508,364.25,426,322,105,8.45
304,Autonomous University of Madrid,Spain,367,218,256,443,321,349,323,107,8.55
305,Dalian University of Technology,China,367,218,667,131,345.75,391,313,106,8.43
306,Stellenbosch University,South Africa,367,218,503,219,326.75,358,321,109,8.8
307,Kyungpook National University,South Korea,367,218,625,66,319,344,323,110,9.1
308,University of Porto,Portugal,94,90,380,405,242.25,211,325,112,9
309,University of St Andrews,United Kingdom,145,218,188,189,185,135,312,108,8.53
310,Gwangju Institute of Science and Technology,South Korea,367,218,538,54,294.25,289,308,110,8.6
311,Chulalongkorn University,Thailand,367,218,734,871,547.5,890,320,104,8.74
312,University of Antwerp,Belgium,367,218,307,372,316,339,328,108,9.18
313,Xiamen University,China,367,218,493,467,386.25,473,311,107,9
314,University of Nebraska–Lincoln,USA,165,218,262,456,275.25,262,301,100,8.04
315,Nankai University,China,334,218,454,419,356.25,410,305,105,8.13
316,University of Stuttgart,Germany,82,218,369,376,261.25,241,308,104,8.07
317,University of Rome Tor Vergata,Italy,367,218,272,816,418.25,550,298,101,7.86
318,University of Regensburg,Germany,367,218,241,522,337,372,300,99,8.01
319,Hong Kong University of Science and Technology,Hong Kong,367,218,466,185,309,324,324,111,8.8
320,Kobe University,Japan,95,116,271,301,195.75,148,327,113,8.69
321,University of Liège,Belgium,143,144,218,285,197.5,150,317,106,8.5
322,Federal University of Rio de Janeiro,Brazil,125,218,330,295,242,210,323,104,8.44
323,Rush University,USA,367,218,404,871,465,691,314,107,8.27
324,University of Vermont,USA,198,218,288,397,275.25,262,305,102,8.18
325,University of York,United Kingdom,367,218,205,406,299,296,315,104,8.33
326,Boston College,USA,367,218,363,386,333.5,366,326,116,9.14
327,University of Pavia,Italy,295,214,381,680,392.5,482,299,100,8.02
328,University of Jena,Germany,367,218,263,457,326.25,354,295,101,7.86
329,Vita-Salute San Raffaele University,Italy,367,218,279,871,433.75,582,324,112,8.77
330,University of Genoa,Italy,367,218,402,537,381,455,297,96,7.89
331,Tianjin University,China,367,218,934,245,441,607,327,113,8.66
332,Louisiana State University - Baton Rouge,USA,270,218,215,458,290.25,283,311,105,8.12
333,University of Exeter,United Kingdom,264,218,174,353,252.25,225,308,106,8.21
334,National Autonomous University of Mexico,Mexico,282,218,219,486,301.25,304,319,108,8.54
335,University of Adelaide,Australia,219,218,243,465,286.25,281,312,107,8.65
336,University of East Anglia,United Kingdom,206,179,211,500,274,258,325,111,9.11
337,York University,Canada,367,218,408,871,466,695,319,110,8.79
338,University of Navarra,Spain,367,218,722,645,488,756,332,118,9.47
339,University of Oregon,USA,346,218,217,729,377.5,447,323,108,8.74
340,"St George's, University of London",United Kingdom,367,218,476,648,427.25,570,324,107,8.66
341,Indian Institute of Technology Delhi,India,367,218,943,625,538.25,870,312,107,8.46
342,University of Trieste,Italy,367,218,286,616,371.75,437,326,110,8.76
343,Queen's University Belfast,United Kingdom,183,218,276,377,263.5,245,308,106,8.24
344,University of Perugia,Italy,367,116,332,642,364.25,426,305,103,8.13
345,Technical University of Berlin,Germany,85,218,412,177,223,180,295,96,7.34
346,University of Marburg,Germany,304,217,249,271,260.25,240,316,98,7.43
347,University of Innsbruck,Austria,197,112,222,442,243.25,215,304,97,7.64
348,Eindhoven University of Technology,Netherlands,367,186,549,279,345.25,390,299,94,7.34
349,Ben-Gurion University of the Negev,Israel,367,218,379,118,270.5,251,302,99,7.25
350,University of Oklahoma - Norman Campus,USA,367,218,240,474,324.75,351,313,101,8.04
351,Wesleyan University,USA,154,218,506,871,437.25,596,318,107,8.27
352,University of Victoria,Canada,367,218,328,853,441.5,608,325,110,8.67
353,Kansas State University,USA,130,218,320,294,240.5,207,303,100,8.06
354,Hong Kong Polytechnic University,Hong Kong,367,218,764,329,419.5,555,300,102,8.17
355,Linköping University,Sweden,367,218,401,871,464.25,688,297,98,7.67
356,University of Southern Denmark,Denmark,367,218,327,320,308,321,317,106,8.12
357,University of Otago,New Zealand,367,218,353,542,370,432,327,109,8.77
358,Justus Liebig University Giessen,Germany,367,218,357,309,312.75,335,301,104,7.89
359,University of New Hampshire,USA,367,79,273,596,328.75,363,314,105,7.64
360,College of William and Mary,USA,367,218,459,809,463.25,682,321,107,8.44
361,San Diego State University,USA,248,218,302,509,319.25,345,322,110,8.64
362,Simon Fraser University,Canada,367,218,303,381,317.25,342,334,116,9.54
363,University of Santiago de Compostela,Spain,367,218,600,126,327.75,360,338,115,9.23
364,Saint Louis University,USA,367,202,293,286,287,282,306,103,8.36
365,Colorado School of Mines,USA,367,218,601,690,469,704,313,102,8.9
366,University of Eastern Finland,Finland,367,218,388,861,458.5,669,330,114,9.17
367,University of Buenos Aires,Argentina,126,180,350,871,381.75,457,320,104,8.34
368,University of Guelph,Canada,367,218,277,445,326.75,358,311,98,7.46
369,University of Ferrara,Italy,367,218,392,656,408.25,523,298,92,7.88
370,Polytechnic University of Catalonia,Spain,367,218,576,85,311.5,333,301,98,8.03
371,Versailles Saint-Quentin-en-Yvelines University,France,367,218,232,839,414,537,310,103,8.24
372,Saarland University,Germany,367,218,434,367,346.5,393,324,110,9.22
373,City University of Hong Kong,Hong Kong,367,218,874,387,461.5,678,336,119,9.62
374,Darmstadt University of Technology,Germany,66,218,457,330,267.75,247,321,109,8.54
375,Pompeu Fabra University,Spain,367,218,164,604,338.25,374,315,105,7.65
